index,station,currently_observed,n_first_bloom_points,n_full_bloom_points,first_bloom_year_range,full_bloom_year_range,first_bloom_trend_days_per_decade,full_bloom_trend_days_per_decade,species_note,temporal_plot,phase_space_plot
11,Urakawa,False,57,57,1953-2009,1953-2009,-0.34,-0.587,Sargent cherry (Prunus sargentii),temporal_plots/011_Urakawa_temporal.png,phase_space_plots/011_Urakawa_phase_space.png
12,Esashi,False,54,54,1953-2007,1953-2007,-0.798,-1.35,,temporal_plots/012_Esashi_temporal.png,phase_space_plots/012_Esashi_phase_space.png
13,Hakodate,True,73,73,1953-2025,1953-2025,-1.846,-1.96,,temporal_plots/013_Hakodate_temporal.png,phase_space_plots/013_Hakodate_phase_space.png
14,Kutchan,False,53,51,1953-2006,1954-2006,-0.915,-1.021,"Until 1994 Sargent Cherry, from 1995 to 2006 they were Yoshino Cherry.",temporal_plots/014_Kutchan_temporal.png,phase_space_plots/014_Kutchan_phase_space.png
15,Monbetsu,False,52,52,1956-2007,1956-2007,0.322,0.406,Sargent cherry (Prunus sargentii),temporal_plots/015_Monbetsu_temporal.png,phase_space_plots/015_Monbetsu_phase_space.png
16,Hiroo,False,41,41,1958-1998,1958-1998,-0.124,-0.422,Sargent cherry (Prunus sargentii),temporal_plots/016_Hiroo_temporal.png,phase_space_plots/016_Hiroo_phase_space.png
17,Shinjo,False,40,40,1958-1997,1958-1997,-0.183,-0.52,,temporal_plots/017_Shinjo_temporal.png,phase_space_plots/017_Shinjo_phase_space.png
18,Aomori,True,70,70,1956-2025,1956-2025,-1.669,-1.997,,temporal_plots/018_Aomori_temporal.png,phase_space_plots/018_Aomori_phase_space.png
19,Hachinohe,False,55,55,1953-2007,1953-2007,-0.746,-0.716,,temporal_plots/019_Hachinohe_temporal.png,phase_space_plots/019_Hachinohe_phase_space.png
20,Akita,True,73,73,1953-2025,1953-2025,-1.163,-1.424,,temporal_plots/020_Akita_temporal.png,phase_space_plots/020_Akita_phase_space.png
21,Morioka,True,73,73,1953-2025,1953-2025,-1.596,-1.428,,temporal_plots/021_Morioka_temporal.png,phase_space_plots/021_Morioka_phase_space.png
22,Miyako,False,55,55,1953-2007,1953-2007,-0.186,-0.348,,temporal_plots/022_Miyako_temporal.png,phase_space_plots/022_Miyako_phase_space.png
23,Sakata,False,57,57,1953-2009,1953-2009,-0.6,-0.893,,temporal_plots/023_Sakata_temporal.png,phase_space_plots/023_Sakata_phase_space.png
24,Yamagata,True,73,73,1953-2025,1953-2025,-1.23,-1.463,,temporal_plots/024_Yamagata_temporal.png,phase_space_plots/024_Yamagata_phase_space.png
25,Sendai,True,73,73,1953-2025,1953-2025,-1.439,-1.528,,temporal_plots/025_Sendai_temporal.png,phase_space_plots/025_Sendai_phase_space.png
26,Fukushima,True,73,73,1953-2025,1953-2025,-1.233,-1.23,,temporal_plots/026_Fukushima_temporal.png,phase_space_plots/026_Fukushima_phase_space.png
27,Shirakawa,False,45,45,1953-1997,1953-1997,0.656,-0.112,,temporal_plots/027_Shirakawa_temporal.png,phase_space_plots/027_Shirakawa_phase_space.png
28,Onahama,False,56,56,1953-2008,1953-2008,-0.833,-0.848,,temporal_plots/028_Onahama_temporal.png,phase_space_plots/028_Onahama_phase_space.png
29,Wajima,False,58,58,1953-2010,1953-2010,-0.429,-0.568,,temporal_plots/029_Wajima_temporal.png,phase_space_plots/029_Wajima_phase_space.png
30,Aikawa,False,55,55,1953-2007,1953-2007,-0.015,-0.016,,temporal_plots/030_Aikawa_temporal.png,phase_space_plots/030_Aikawa_phase_space.png
31,Niigata,True,73,73,1953-2025,1953-2025,-1.363,-1.493,,temporal_plots/031_Niigata_temporal.png,phase_space_plots/031_Niigata_phase_space.png
32,Kanazawa,True,73,73,1953-2025,1953-2025,-1.055,-0.963,,temporal_plots/032_Kanazawa_temporal.png,phase_space_plots/032_Kanazawa_phase_space.png
